nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;9143;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;11956;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;13894;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;1155;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;110;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;2916;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;6981;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;8991;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;360000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;9203;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;11739;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;13969;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;1167;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;117;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;2853;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;6974;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;9068;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;450000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;10025;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;12810;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;15579;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;1247;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;112;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;3160;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;7907;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;9670;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;460000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;10876;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;16821;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;20097;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;1572;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;116;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;3708;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;9628;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;12189;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;470000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;10218;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;15133;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;19370;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;1604;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;104;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;3562;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;9422;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;12440;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;478402;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;10064;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;15070;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;20451;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;1780;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;115;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;3210;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;9751;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;13795;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;-;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2015;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;9724;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;14162;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;16508;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;1732;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;115;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;2996;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;9299;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;13436;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;-;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2016;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;10557;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;16174;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;18218;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;1733;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;120;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;3335;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;10134;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;13548;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;-;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2017;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;10211;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;16560;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;18373;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;1849;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;131;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;3493;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;10603;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;14481;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;-;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2018;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;9739;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;15589;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;18250;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;1785;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;127.97;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;3397;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;10321;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;13901;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;-;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2019;Tahun;-;"Gulden Belanda"
